Xa5dk	Allergy to over-the-counter drug
Xa5dl	Analgesics and non-steroidal anti-inflammatory drug allergy
Xa5ec	Diagnostic agent allergy
Xa5fi	Anaesthetics and medical gases allergy
Xa5g8	Antineoplastic/immunosuppressant/immunostimulant allergy
Xa5oa	Chelating agents and antidotes allergy
Xa5p4	Alternative medicines allergy
Xa5p8	Miscellaneous fluids and solutions allergy
Xa5pP	Allergy to bases and inactive substances
Xa5pp	Anti-infectives allergy
Xa5uW	Vaccine, immunoglobulins and antisera allergy
Xa5v8	Hormones, synthetic substitutes and antagonists allergy
Xa5xq	Haematological agents allergy
Xa5yb	Foods, vitamins, electrolytes and inorganic salts allergy
Xa5dm	Analgesic allergy
Xa5eE	Non-steroidal anti-inflammatory drug allergy
Xa5ed	Tuberculin allergy
Xa5ee	Radiopharmaceutical allergy
Xa5ef	Contrast media allergy
Xa5ei	Allergen extract vaccine allergy
Xa5ej	Diagnostic dye allergy
Xa5el	Ulcer healing drug allergy
Xa5f0	Pancreatin allergy
Xa5f1	5-aminosalicylic acid allergy
Xa5f5	Antacid allergy
Xa5f8	Antidiarrhoeal drug allergy
Xa5fB	Motility stimulant allergy
Xa5fD	Antiemetic allergy
Xa5fI	Laxative allergy
Xa5fT	Antispasmodic allergy
Xa5fd	Bile agent allergy
Xa5fj	General anaesthetic drug allergy
Xa5fx	Local anaesthetic drug allergy
Xa5g9	Immunostimulant allergy
Xa5gH	Antineoplastic allergy
Xa5hC	Immunosuppressant allergy
Xa5hG	Centrally acting appetite suppressant allergy
Xa5hM	Dopaminergic drug used in parkinsonism allergy
Xa5hV	Antidepressant drug allergy
Xa5i8	Antiepileptic allergy
Xa5iN	Sedative/neuroleptic allergy
Xa5jd	Decarboxylase inhibitor allergy
Xa5jf	Central stimulant allergy
Xa5jl	Alcohol metabolism modifier allergy
Xa5jo	Beta-adrenoceptor blocking drug allergy
Xa5kB	Alpha-adrenoceptor blocking drug allergy
Xa5kJ	Nicotine allergy
Xa5kK	Calcium-channel blocker allergy
Xa5kW	Parasympathomimetic allergy
Xa5kk	Sympathomimetic allergy
Xa5lR	Anticholinergic allergy
Xa5lr	Dornase alfa allergy
Xa5ls	Mucolytics allergy
Xa5ly	Respiratory stimulant allergy
Xa5m2	Respiratory surfactant allergy
Xa5m7	Antiallergenic drug allergy
Xa5mk	Cough/decongestant preparation allergy
Xa5mu	Xanthine allergy
Xa5mz	Allergy to inhaled corticosteroids
Xa5n1	Topical dermatological preparation allergy
Xa5ng	Oral dermatological agent allergy
Xa5ni	Retinoid allergy
XaRAf	Balsam of Peru allergy
Xa5no	Drug for the treatment of gout allergy
Xa5nw	Skeletal muscle relaxant allergy
Xa5oD	Gold allergy
Xa5oG	Smooth muscle relaxant allergy
Xa5oK	Mifepristone allergy
Xa5oL	Non-ionic surfactant allergy
Xa5oO	Prostaglandin allergy
Xa5oZ	Terpenes allergy
Xa5ob	Antidote allergy
Xa5ou	Chelating agent allergy
Xa5p5	Homoeopathic medicine allergy
Xa5p6	Anthroposophical medicine allergy
Xa5p7	Herbal medicine allergy
Xa5p9	Sodium hyaluronate allergy
Xa5pA	Glycine allergy
Xa5pB	Dialysis fluid allergy
Xa5pF	Cardioplegia solution allergy
Xa5pH	Dimethyl-ether propane allergy
Xa5pI	Citrate allergy
Xa5pJ	Haemorrhoid preparation allergy
Xa5pK	Ear wax removal preparation allergy
Xa5pL	Topical potassium allergy
Xa5pM	Topical zinc allergy
Xa5pQ	Fixed oil allergy
Xa5pU	Glycerol/glycol/macrogol allergy
Xa5pW	Lubricant allergy
Xa5pX	Base allergy
Xa5pg	Viscosity modifier allergy
Xa5pq	Antifungal drug allergy
Xa5qF	Antiviral drug allergy
Xa5qZ	Antimalarial drug allergy
Xa5qn	Lactobacill acidophil vaccine allergy
Xa5qp	Disinfectants and cleansers allergy
Xa5ra	Anthelmintics allergy
Xa5rk	Antibacterial drug allergy
Xa5tw	Antiprotozoal drug allergy
Xa5u6	Antimycobacterial agent allergy
Xa5uK	Pesticide allergy
Xa5uX	Immunoglobulin products allergy
Xa5uf	Vaccines allergy
Xa5v4	Antisera allergy
Xa5v9	Glucagon allergy
Xa5vA	Antithyroid drug allergy
Xa5vF	Corticosteroids allergy
Xa5vp	Insulin allergy
Xa5w2	Oral hypoglycaemic allergy
Xa5wI	Sex hormones allergy
Xa5xA	Ergoline drug allergy
Xa5xD	Thyroid agent allergy
Xa5xG	Hypothalamic/pituitary hormone allergy
Xa5xg	Calcium regulating agent allergy
Xa5xr	Erythropoietin allergy
Xa5xu	Plasma substitutes allergy
Xa5y1	Blood derivative allergy
Xa5yG	Anticoagulant allergy
