d7f..	Trimipramine
d7fz.	Trimipramine 25mg tablet
d7f3.	Surmontil 25mg tablet
d7fy.	Trimipramine 10mg tablet
d7f2.	Surmontil 10mg tablet
d7fx.	Trimipramine 50mg capsule
x00ED	Surmontil 50mg capsule
d7f1.	Surmontil 50mg capsules x28CP
x01B1	Protriptyline
d7d4.	Protriptyline hydrochloride 10mg tablet
d7d2.	Concordin 10mg tablet
d7d3.	Protriptyline hydrochloride 5mg tablet
d7d1.	Concordin 5mg tablet
d7d..	Protriptyline hydrochloride
d7c..	Nortriptyline
d7cy.	Nortriptyline 25mg capsule
d7c4.	Aventyl 25mg capsule
d7c9.	Nortriptyline 10mg capsule
d7c3.	Aventyl 10mg capsule
d7c8.	Nortriptyline 25mg tablet
d7c2.	Allegron 25mg tablet
d7c7.	Nortriptyline 10mg/5mL liquid
d7c5.	Aventyl 10mg/5mL liquid
d7c6.	Nortriptyline 10mg tablet
d7c1.	Allegron 10mg tablet
d79..	Lofepramine
d79z.	Lofepramine 70mg tablet
d794.	Gamanil 70mg tablet
d791.	Gamanil 70mg tablets x56CP
d793.	Feprapax 70mg tablet
d79y.	Lofepramine 70mg/5mL s/f suspension
d792.	Lomont 70mg/5mL s/f suspension
d78..	Iprindole
d78z.	Iprindole 30mg tablet
d782.	Prondol 30mg tablet
d78y.	Iprindole 15mg tablet
d781.	Prondol 15mg tablet
x01B0	Imipramine
d77z.	Imipramine hydrochloride 25mg/5mL syrup
d777.	Tofranil 25mg/5mL syrup
d772.	Imipramine hydrochloride 25mg tablet
d776.	Tofranil 25mg tablet
d774.	Praminil 25mg tablet
d771.	Imipramine hydrochloride 10mg tablet
d775.	Tofranil 10mg tablet
d773.	Praminil 10mg tablet
d77..	Imipramine hydrochloride [antidepressant]
d77w.	IMIPRAMINE HYDROCHLORIDE 25mg/5mL oral solution
d76..	Doxepin
d76z.	Doxepin 75mg capsule
x00EC	Sinequan 75mg capsule
d764.	Sinequan 75mg capsules x28CP
d76y.	Doxepin 50mg capsule
x00EB	Sinequan 50mg capsule
d763.	Sinequan 50mg capsules x28CP
d766.	SINEPIN 50mg capsules
